DateTime,greenhouse_temperature_climate:_measurement,lee_side_vent_position:,wind_side_vent_position:,radiation_sum:_measurement_-,"radiation:_measurement_-_W/mｲ
",outside_temperature:_measurement_-
2024-05-24 15:00:00,26.2,3,0,1463,612,17.3
2024-05-24 15:05:00,26.2,3,0,1482,605,17.5
2024-05-24 15:10:00,28.0,3,0,1500,598,17.5
2024-05-24 15:15:00,27.5,91,84,1517,592,17.5
2024-05-24 15:20:00,23.3,100,99,1535,586,18.1
2024-05-24 15:25:00,23.1,100,88,1553,580,17.3
2024-05-24 15:30:00,22.8,100,73,1570,574,16.6
2024-05-24 15:35:00,22.8,100,72,1587,566,17.4
2024-05-24 15:40:00,22.1,100,72,1604,558,17.5
2024-05-24 15:45:00,22.2,100,72,1620,551,17.7
2024-05-24 15:50:00,22.0,100,62,1637,540,17.8
2024-05-24 15:55:00,22.2,100,62,1653,532,17.2
2024-05-24 16:00:00,21.8,100,62,1669,528,17.1
2024-05-24 16:05:00,22.2,100,62,1685,518,17.8
2024-05-24 16:10:00,22.6,77,40,1700,511,17.1
2024-05-24 16:15:00,22.9,100,64,1715,501,18.0
2024-05-24 16:20:00,22.3,100,64,1730,492,17.6
2024-05-24 16:25:00,21.9,92,51,1745,484,17.1
2024-05-24 16:30:00,22.6,87,43,1759,473,17.3
2024-05-24 16:35:00,22.4,100,58,1773,466,17.7
2024-05-24 16:40:00,21.7,75,58,1787,456,17.8
2024-05-24 16:45:00,22.1,75,46,1800,447,16.9
2024-05-24 16:50:00,22.1,60,37,1814,438,16.9
2024-05-24 16:55:00,21.9,71,49,1827,426,17.4
2024-05-24 17:00:00,21.8,82,49,1839,419,17.5
2024-05-24 17:05:00,21.4,52,31,1852,410,17.7
2024-05-24 17:10:00,21.6,52,31,1864,398,17.6
2024-05-24 17:15:00,21.2,43,22,1875,385,17.3
2024-05-24 17:20:00,21.6,43,31,1887,373,17.1
2024-05-24 17:25:00,21.6,58,41,1898,366,17.9
2024-05-24 17:30:00,21.8,58,41,1908,352,16.6
2024-05-24 17:35:00,21.5,47,41,1919,343,17.5
2024-05-24 17:40:00,21.4,47,41,1929,335,17.5
2024-05-24 17:45:00,21.7,47,41,1939,323,17.4
2024-05-24 17:50:00,21.3,47,41,1948,314,17.6
2024-05-24 17:55:00,21.1,38,21,1957,298,17.0
2024-05-24 18:00:00,21.0,38,21,1966,289,16.6
2024-05-24 18:05:00,21.3,38,15,1975,281,17.2
2024-05-24 18:10:00,21.2,38,15,1983,269,17.1
2024-05-24 18:15:00,21.1,38,15,1991,258,16.8
2024-05-24 18:20:00,21.4,38,15,1998,246,16.7
2024-05-24 18:25:00,21.1,38,15,2006,235,16.5
2024-05-24 18:30:00,21.0,38,15,2013,227,16.5
2024-05-24 18:35:00,20.6,19,5,2019,212,16.3
2024-05-24 18:40:00,20.9,19,5,2025,204,15.7
2024-05-24 18:45:00,21.0,18,5,2031,194,16.0
2024-05-24 18:50:00,21.0,18,5,2037,190,15.5
2024-05-24 18:55:00,20.7,18,12,2042,167,15.9
2024-05-24 19:00:00,20.6,18,4,2047,158,16.0
2024-05-24 19:05:00,20.5,18,3,2052,156,15.5
2024-05-24 19:10:00,20.6,12,0,2056,144,15.4
2024-05-24 19:15:00,20.5,12,0,2060,134,15.3
2024-05-24 19:20:00,20.6,12,0,2064,124,15.3
2024-05-24 19:25:00,20.1,6,0,2067,117,15.1
2024-05-24 19:30:00,20.4,4,0,2071,107,14.8
2024-05-24 19:35:00,20.5,3,0,2074,98,14.8
2024-05-24 19:40:00,20.6,3,0,2076,89,14.7
2024-05-24 19:45:00,20.5,3,0,2079,81,14.6
2024-05-24 19:50:00,20.4,3,0,2081,72,14.2
2024-05-24 19:55:00,20.3,3,0,2083,65,14.3
2024-05-24 20:00:00,20.1,3,0,2085,59,14.4
2024-05-24 20:05:00,20.0,3,0,2087,51,14.2
2024-05-24 20:10:00,19.9,3,0,2088,41,14.0
2024-05-24 20:15:00,19.9,3,0,2089,23,14.1
2024-05-24 20:20:00,19.9,3,0,2090,18,14.0
2024-05-24 20:25:00,20.2,3,0,2090,15,13.7
2024-05-24 20:30:00,20.5,3,0,2091,12,13.7
2024-05-24 20:35:00,20.4,3,0,2091,11,13.5
2024-05-24 20:40:00,20.2,3,0,2091,8,13.2
2024-05-24 20:45:00,20.1,3,0,2091,5,13.0
2024-05-24 20:50:00,19.9,3,0,2091,3,12.7
2024-05-24 20:55:00,20.0,3,0,2091,1,12.6
2024-05-24 21:00:00,19.9,3,0,2092,0,12.5
2024-05-24 21:05:00,19.8,3,0,2092,0,12.4
2024-05-24 21:10:00,19.7,3,0,2092,0,12.3
2024-05-24 21:15:00,19.5,3,0,2092,0,12.1
2024-05-24 21:20:00,19.6,3,0,2092,0,12.0
2024-05-24 21:25:00,19.4,3,0,2092,0,12.0
2024-05-24 21:30:00,19.5,3,0,2092,0,12.0
2024-05-24 21:35:00,19.5,3,0,2092,0,12.0
2024-05-24 21:40:00,19.3,3,0,2092,0,11.9
2024-05-24 21:45:00,19.3,3,0,2092,0,12.0
2024-05-24 21:50:00,19.1,3,0,2092,0,12.1
2024-05-24 21:55:00,19.1,3,0,2092,0,12.0
2024-05-24 22:00:00,19.0,3,0,2092,0,11.9
2024-05-24 22:05:00,18.8,3,0,2092,1,11.8
2024-05-24 22:10:00,19.1,3,0,2092,1,12.0
2024-05-24 22:15:00,19.1,19,8,2092,0,12.1
2024-05-24 22:20:00,19.3,13,3,2092,1,12.1
2024-05-24 22:25:00,19.4,12,3,2092,0,12.2
2024-05-24 22:30:00,19.5,12,3,2092,0,12.2
2024-05-24 22:35:00,19.6,10,0,2092,0,12.2
2024-05-24 22:40:00,19.4,10,0,2092,0,12.1
2024-05-24 22:45:00,19.3,10,0,2092,0,12.1
2024-05-24 22:50:00,19.3,10,0,2092,0,12.0
2024-05-24 22:55:00,19.4,7,0,2092,0,12.3
2024-05-24 23:00:00,19.3,7,0,2092,0,12.3
2024-05-24 23:05:00,19.1,7,0,2092,0,12.1
2024-05-24 23:10:00,19.0,3,0,2092,0,12.0
2024-05-24 23:15:00,18.8,3,0,2092,0,12.0
2024-05-24 23:20:00,18.7,3,0,2092,0,12.0
2024-05-24 23:25:00,18.5,3,0,2092,0,12.0
2024-05-24 23:30:00,18.3,10,5,2092,0,11.7
2024-05-24 23:35:00,18.2,3,0,2092,0,11.5
2024-05-24 23:40:00,18.1,4,3,2092,0,11.5
2024-05-24 23:45:00,18.0,0,3,2092,0,11.3
2024-05-24 23:50:00,18.0,0,3,2092,0,11.0
2024-05-24 23:55:00,18.0,0,3,2092,0,11.2
2024-05-25 00:00:00,18.0,0,3,2092,0,11.2
2024-05-25 00:05:00,17.9,0,3,0,0,11.2
2024-05-25 00:10:00,17.7,0,3,0,0,10.7
2024-05-25 00:15:00,18.0,0,3,0,0,10.7
2024-05-25 00:20:00,18.0,3,0,0,0,11.0
2024-05-25 00:25:00,17.9,3,0,0,0,11.1
2024-05-25 00:30:00,17.6,3,0,0,0,11.0
2024-05-25 00:35:00,18.0,0,3,0,0,10.9
2024-05-25 00:40:00,18.0,0,3,0,0,10.7
2024-05-25 00:45:00,18.0,0,3,0,0,10.6
2024-05-25 00:50:00,18.0,3,0,0,0,10.5
2024-05-25 00:55:00,18.0,3,0,0,0,10.5
2024-05-25 01:00:00,18.0,3,0,0,0,10.8
2024-05-25 01:05:00,18.0,3,0,0,0,10.7
2024-05-25 01:10:00,18.0,3,0,0,0,10.6
2024-05-25 01:15:00,18.0,5,3,0,0,10.5
2024-05-25 01:20:00,18.1,3,0,0,0,10.5
